GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Under 1.30:
HD02_VD02,Margin of Error; Under 1.30:
HD01_VD03,Estimate; Under 1.30: - Married-couple family:
HD02_VD03,Margin of Error; Under 1.30: - Married-couple family:
HD01_VD04,Estimate; Under 1.30: - Married-couple family: - With related children under 18 years:
HD02_VD04,Margin of Error; Under 1.30: - Married-couple family: - With related children under 18 years:
HD01_VD05,Estimate; Under 1.30: - Married-couple family: - With related children under 18 years: - Under 5 years only
HD02_VD05,Margin of Error; Under 1.30: - Married-couple family: - With related children under 18 years: - Under 5 years only
HD01_VD06,Estimate; Under 1.30: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years
HD02_VD06,Margin of Error; Under 1.30: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years
HD01_VD07,Estimate; Under 1.30: - Married-couple family: - With related children under 18 years: - 5 to 17 years only
HD02_VD07,Margin of Error; Under 1.30: - Married-couple family: - With related children under 18 years: - 5 to 17 years only
HD01_VD08,Estimate; Under 1.30: - Married-couple family: - No related children under 18 years
HD02_VD08,Margin of Error; Under 1.30: - Married-couple family: - No related children under 18 years
HD01_VD09,Estimate; Under 1.30: - Other family:
HD02_VD09,Margin of Error; Under 1.30: - Other family:
HD01_VD10,"Estimate; Under 1.30: - Other family: - Male householder, no wife present:"
HD02_VD10,"Margin of Error; Under 1.30: - Other family: - Male householder, no wife present:"
HD01_VD11,"Estimate; Under 1.30: - Other family: - Male householder, no wife present: - With related children under 18 years:"
HD02_VD11,"Margin of Error; Under 1.30: - Other family: - Male householder, no wife present: - With related children under 18 years:"
HD01_VD12,"Estimate; Under 1.30: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only"
HD02_VD12,"Margin of Error; Under 1.30: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only"
HD01_VD13,"Estimate; Under 1.30: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years"
HD02_VD13,"Margin of Error; Under 1.30: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years"
HD01_VD14,"Estimate; Under 1.30: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only"
HD02_VD14,"Margin of Error; Under 1.30: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only"
HD01_VD15,"Estimate; Under 1.30: - Other family: - Male householder, no wife present: - No related children under 18 years"
HD02_VD15,"Margin of Error; Under 1.30: - Other family: - Male householder, no wife present: - No related children under 18 years"
HD01_VD16,"Estimate; Under 1.30: - Other family: - Female householder, no husband present:"
HD02_VD16,"Margin of Error; Under 1.30: - Other family: - Female householder, no husband present:"
HD01_VD17,"Estimate; Under 1.30: - Other family: - Female householder, no husband present: - With related children under 18 years:"
HD02_VD17,"Margin of Error; Under 1.30: - Other family: - Female householder, no husband present: - With related children under 18 years:"
HD01_VD18,"Estimate; Under 1.30: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only"
HD02_VD18,"Margin of Error; Under 1.30: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only"
HD01_VD19,"Estimate; Under 1.30: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years"
HD02_VD19,"Margin of Error; Under 1.30: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years"
HD01_VD20,"Estimate; Under 1.30: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only"
HD02_VD20,"Margin of Error; Under 1.30: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only"
HD01_VD21,"Estimate; Under 1.30: - Other family: - Female householder, no husband present: - No related children under 18 years"
HD02_VD21,"Margin of Error; Under 1.30: - Other family: - Female householder, no husband present: - No related children under 18 years"
HD01_VD22,Estimate; 1.30 to 1.49:
HD02_VD22,Margin of Error; 1.30 to 1.49:
HD01_VD23,Estimate; 1.30 to 1.49: - Married-couple family:
HD02_VD23,Margin of Error; 1.30 to 1.49: - Married-couple family:
HD01_VD24,Estimate; 1.30 to 1.49: - Married-couple family: - With related children under 18 years:
HD02_VD24,Margin of Error; 1.30 to 1.49: - Married-couple family: - With related children under 18 years:
