GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Male:
HD02_VD02,Margin of Error; Male:
HD01_VD03,"Estimate; Male: - Agriculture, forestry, fishing and hunting, and mining:"
HD02_VD03,"Margin of Error; Male: - Agriculture, forestry, fishing and hunting, and mining:"
HD01_VD04,"Estimate; Male: - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HD02_VD04,"Margin of Error; Male: - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HD01_VD05,"Estimate; Male: - Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction"
HD02_VD05,"Margin of Error; Male: - Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction"
HD01_VD06,Estimate; Male: - Construction
HD02_VD06,Margin of Error; Male: - Construction
HD01_VD07,Estimate; Male: - Manufacturing:
HD02_VD07,Margin of Error; Male: - Manufacturing:
HD01_VD08,Estimate; Male: - Manufacturing: - Food
HD02_VD08,Margin of Error; Male: - Manufacturing: - Food
HD01_VD09,Estimate; Male: - Manufacturing: - Beverage and tobacco products
HD02_VD09,Margin of Error; Male: - Manufacturing: - Beverage and tobacco products
HD01_VD10,Estimate; Male: - Manufacturing: - Textile mills and textile products
HD02_VD10,Margin of Error; Male: - Manufacturing: - Textile mills and textile products
HD01_VD11,Estimate; Male: - Manufacturing: - Apparel
HD02_VD11,Margin of Error; Male: - Manufacturing: - Apparel
HD01_VD12,Estimate; Male: - Manufacturing: - Leather and allied products
HD02_VD12,Margin of Error; Male: - Manufacturing: - Leather and allied products
HD01_VD13,Estimate; Male: - Manufacturing: - Wood products
HD02_VD13,Margin of Error; Male: - Manufacturing: - Wood products
HD01_VD14,Estimate; Male: - Manufacturing: - Paper
HD02_VD14,Margin of Error; Male: - Manufacturing: - Paper
HD01_VD15,Estimate; Male: - Manufacturing: - Printing and related support activities
HD02_VD15,Margin of Error; Male: - Manufacturing: - Printing and related support activities
HD01_VD16,Estimate; Male: - Manufacturing: - Petroleum and coal products
HD02_VD16,Margin of Error; Male: - Manufacturing: - Petroleum and coal products
HD01_VD17,Estimate; Male: - Manufacturing: - Chemicals
HD02_VD17,Margin of Error; Male: - Manufacturing: - Chemicals
HD01_VD18,Estimate; Male: - Manufacturing: - Plastics and rubber products
HD02_VD18,Margin of Error; Male: - Manufacturing: - Plastics and rubber products
HD01_VD19,Estimate; Male: - Manufacturing: - Nonmetallic mineral products
HD02_VD19,Margin of Error; Male: - Manufacturing: - Nonmetallic mineral products
HD01_VD20,Estimate; Male: - Manufacturing: - Metal and metal products
HD02_VD20,Margin of Error; Male: - Manufacturing: - Metal and metal products
HD01_VD21,Estimate; Male: - Manufacturing: - Machinery
HD02_VD21,Margin of Error; Male: - Manufacturing: - Machinery
HD01_VD22,Estimate; Male: - Manufacturing: - Computer and electronic products
HD02_VD22,Margin of Error; Male: - Manufacturing: - Computer and electronic products
HD01_VD23,"Estimate; Male: - Manufacturing: - Electrical equipment, appliances, and components"
HD02_VD23,"Margin of Error; Male: - Manufacturing: - Electrical equipment, appliances, and components"
HD01_VD24,Estimate; Male: - Manufacturing: - Transportation equipment
HD02_VD24,Margin of Error; Male: - Manufacturing: - Transportation equipment
HD01_VD25,Estimate; Male: - Manufacturing: - Furniture and related product manufacturing
HD02_VD25,Margin of Error; Male: - Manufacturing: - Furniture and related product manufacturing
HD01_VD26,Estimate; Male: - Manufacturing: - Miscellaneous manufacturing
HD02_VD26,Margin of Error; Male: - Manufacturing: - Miscellaneous manufacturing
HD01_VD27,Estimate; Male: - Wholesale trade:
HD02_VD27,Margin of Error; Male: - Wholesale trade:
HD01_VD28,Estimate; Male: - Wholesale trade: - Motor vehicle and motor vehicle parts and supplies merchant wholesalers
HD02_VD28,Margin of Error; Male: - Wholesale trade: - Motor vehicle and motor vehicle parts and supplies merchant wholesalers
HD01_VD29,Estimate; Male: - Wholesale trade: - Furniture and home furnishing merchant wholesalers
HD02_VD29,Margin of Error; Male: - Wholesale trade: - Furniture and home furnishing merchant wholesalers
HD01_VD30,Estimate; Male: - Wholesale trade: - Lumber and other construction materials merchant wholesalers
HD02_VD30,Margin of Error; Male: - Wholesale trade: - Lumber and other construction materials merchant wholesalers
HD01_VD31,Estimate; Male: - Wholesale trade: - Professional and commercial equipment and supplies merchant wholesalers
HD02_VD31,Margin of Error; Male: - Wholesale trade: - Professional and commercial equipment and supplies merchant wholesalers
HD01_VD32,"Estimate; Male: - Wholesale trade: - Metals and minerals, except petroleum, merchant wholesalers"
HD02_VD32,"Margin of Error; Male: - Wholesale trade: - Metals and minerals, except petroleum, merchant wholesalers"
HD01_VD33,Estimate; Male: - Wholesale trade: - Household appliances and electrical and electronic goods merchant wholesalers
HD02_VD33,Margin of Error; Male: - Wholesale trade: - Household appliances and electrical and electronic goods merchant wholesalers
HD01_VD34,"Estimate; Male: - Wholesale trade: - Hardware, and plumbing and heating equipment, and supplies merchant wholesalers"
HD02_VD34,"Margin of Error; Male: - Wholesale trade: - Hardware, and plumbing and heating equipment, and supplies merchant wholesalers"
HD01_VD35,"Estimate; Male: - Wholesale trade: - Machinery, equipment, and supplies merchant wholesalers"
HD02_VD35,"Margin of Error; Male: - Wholesale trade: - Machinery, equipment, and supplies merchant wholesalers"
HD01_VD36,Estimate; Male: - Wholesale trade: - Recyclable material merchant wholesalers
HD02_VD36,Margin of Error; Male: - Wholesale trade: - Recyclable material merchant wholesalers
HD01_VD37,Estimate; Male: - Wholesale trade: - Miscellaneous durable goods merchant wholesalers
HD02_VD37,Margin of Error; Male: - Wholesale trade: - Miscellaneous durable goods merchant wholesalers
HD01_VD38,Estimate; Male: - Wholesale trade: - Paper and paper products merchant wholesalers
HD02_VD38,Margin of Error; Male: - Wholesale trade: - Paper and paper products merchant wholesalers
HD01_VD39,"Estimate; Male: - Wholesale trade: - Drugs, sundries, and chemical and allied products merchant wholesalers"
HD02_VD39,"Margin of Error; Male: - Wholesale trade: - Drugs, sundries, and chemical and allied products merchant wholesalers"
HD01_VD40,"Estimate; Male: - Wholesale trade: - Apparel, piece goods, and notions merchant wholesalers"
HD02_VD40,"Margin of Error; Male: - Wholesale trade: - Apparel, piece goods, and notions merchant wholesalers"
HD01_VD41,Estimate; Male: - Wholesale trade: - Grocery and related product merchant wholesalers
HD02_VD41,Margin of Error; Male: - Wholesale trade: - Grocery and related product merchant wholesalers
HD01_VD42,Estimate; Male: - Wholesale trade: - Farm product raw material merchant wholesalers
